sentences,aspects,polarity,sentences,aspects,polarity,sentences,aspects,polarity,sentences/sentence/3/text,sentences/sentence/3/Opinions/Opinion/0/_category,sentences/sentence/3/Opinions/Opinion/0/_polarity,sentences/sentence/3/Opinions/Opinion/1/_category,sentences/sentence/3/Opinions/Opinion/1/_polarity
"I bought it for my mom and she reports that the battery life lasts all day for her, it's very lightweight, and the response for the computing she's doing (Internet focused activity: mail, research, etc.) is excellent;",BATTERY#OPERATION_PERFORMANCE,positive,she can't tell the difference between it and her regular desktop system.,,,The overall build quality of the unit is excellent and she'd recommend it to anyone else looking for a netbook.,LAPTOP#QUALITY,positive,"If you're looking for something to fly through those massive spreadsheets or play a graphics-intensive game, you'd be better off getting a machine aimed at that segment of the market.",LAPTOP#MISCELLANEOUS,neutral,,
"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.",OS#DESIGN_FEATURES,positive,"still testing the battery life as i thought it would be better, but am very happy with the upgrade.",BATTERY#OPERATION_PERFORMANCE,neutral,,,,,,,,
"Probably as good as you can get in a netbook, does everything I ask for and has some very good unexpected pluses.",LAPTOP#GENERAL,positive,Has met or exceeded my needs for a compact travel device.,LAPTOP#PORTABILITY,positive,,,,,,,,
"So far, so good!",LAPTOP#GENERAL,positive,I've been impressed with the battery life and the performance for such a small amount of memory.,BATTERY#OPERATION_PERFORMANCE,positive,I don't understand why only Windows 7 Starter is included.,LAPTOP#DESIGN_FEATURES,negative,,,,,
Strong performance in this device makes use of fun and a strong sense of the era of speed,LAPTOP#OPERATION_PERFORMANCE,positive,This device serves all modern requirements is a very strong game and is very useful for designers.,LAPTOP#GENERAL,positive,Enjoy that Toshib force and durability unparalleled,LAPTOP#OPERATION_PERFORMANCE,positive,,,,,
"Needs longer lasting battery, More than 1 to 2 Hrs.",BATTERY#OPERATION_PERFORMANCE,negative,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",MOUSE#OPERATION_PERFORMANCE,neutral,For the use it was purchased for it is a good Laptop.,LAPTOP#MISCELLANEOUS,positive,Comfterbale to use light easy to transport.,LAPTOP#USABILITY,positive,LAPTOP#DESIGN_FEATURES,positive
"I love this product because it is Toshiba and its 15.6"".",LAPTOP#GENERAL,positive,"It has no camera but, I can always buy and install one easy.",LAPTOP#DESIGN_FEATURES,neutral,"I had a USB connect but, i can't use it because it is not compatible.",LAPTOP#USABILITY,negative,That's the downside for me.,LAPTOP#USABILITY,negative,,
Satisfy what I paid for it.,LAPTOP#GENERAL,positive,Good monitor and performed well.,DISPLAY#GENERAL,positive,I am using the external speaker- sound is good.,MULTIMEDIA_DEVICES#QUALITY,positive,Best thing is I can use existing 32 bit old programs.,LAPTOP#USABILITY,positive,,
The Toshiba laptop I am using is easier to use than most I have tried.,,,The games included are very good games.,SOFTWARE#GENERAL,positive,I am finding my way around this laptop better than my last one.,,,I would highly recommend this one to my friends,LAPTOP#GENERAL,positive,,
I bought this laptop because of the performance to price ratio.,LAPTOP#OPERATION_PERFORMANCE,positive,"It works great for general internet use, Microsoft Office apps, home bookkeeping, etc.",LAPTOP#MISCELLANEOUS,positive,"It doesn't have a lot of frills, but I didn't need any, and being able to buy what I needed, and not more than I needed was very important.",LAPTOP#DESIGN_FEATURES,neutral,,,,,
This computer I used daily nice compact design.,LAPTOP#DESIGN_FEATURES,positive,Excellent speed for processing data.,LAPTOP#OPERATION_PERFORMANCE,positive,And if you are a game player it works with World Of Warcraft wonderfully.,LAPTOP#MISCELLANEOUS,positive,Now when I order I did not go full scale for the webcam or full keyboard I wanted something for basics of being easy to carry when I use crutchs or wheelchair and with a backpack laptop bag.,,,,
Bought it to use mostly for oline classes.,,,i would have to say that overall its great!,LAPTOP#GENERAL,positive,"Aside from the trial software and the short battery life, lack of a webcam, its great.",SOFTWARE#MISCELLANEOUS,negative,"Fast, great visual!",LAPTOP#OPERATION_PERFORMANCE,positive,DISPLAY#QUALITY,positive
2nd Best computer in the world  only one way this computer might become the best is that it needs to upgreade patches  to make less easier for people to hack into,LAPTOP#GENERAL,positive,,,,,,,,,,,
Sells for the same as a netbook without sacrificing size.,,,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,LAPTOP#DESIGN_FEATURES,neutral,Great wifi too.,LAPTOP#CONNECTIVITY,positive,"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",DISPLAY#QUALITY,negative,MOUSE#USABILITY,neutral
Overall for the money this is a good deal.,LAPTOP#GENERAL,positive,There is no number pad to the right of the keyboard which is a bummer.,KEYBOARD#DESIGN_FEATURES,negative,The speakers are terrible and are probably the cheapest ones I have ever seen in a laptop so if your planning to listen to music I suggest you get something better.,MULTIMEDIA_DEVICES#GENERAL,negative,"while the keyboard itself is alright, the plate around it is cheap plastic and makes a hollow sound when using the mouse command buttons.",KEYBOARD#GENERAL,neutral,LAPTOP#QUALITY,negative
"I am overall very pleased with my toshiba satellite, I like the extra features, I love the windows 7 home premium.",LAPTOP#GENERAL,positive,"The battery life has not decreased since I bought it, so i'm thrilled with that.",BATTERY#OPERATION_PERFORMANCE,positive,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",LAPTOP#DESIGN_FEATURES,positive,I would easly reccomend this laptop to a friend.,LAPTOP#GENERAL,positive,,
Couldnt not use it.,LAPTOP#USABILITY,negative,Tried to make a recovey disk wouldnt get passed the first recovery disk.,LAPTOP#USABILITY,negative,defective software.,SOFTWARE#QUALITY,negative,returned it to walmart.,LAPTOP#GENERAL,negative,,
I would like to have volume buttons rather than the adjustment that is on the front.,LAPTOP#DESIGN_FEATURES,negative,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,MOUSE#OPERATION_PERFORMANCE,negative,I went to Toshiba online help and found some suggestions to fix it.,SUPPORT#QUALITY,positive,One of them seems to have worked.,SUPPORT#QUALITY,positive,,
Its a good laptop for its value.,LAPTOP#GENERAL,positive,Registration/1st use is easy.,LAPTOP#USABILITY,positive,Features like the font are very block-like and old school.,LAPTOP#DESIGN_FEATURES,negative,"Would like more trendy, high tech features.",LAPTOP#DESIGN_FEATURES,negative,,
I'm really impressed with the quality and performance for the price of the computer.,LAPTOP#QUALITY,positive,"Graphics are clean and sharp, internet interfaces are seamless.",GRAPHICS#QUALITY,positive,"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",LAPTOP#OPERATION_PERFORMANCE,negative,Sound card is limited though.,MULTIMEDIA_DEVICES#DESIGN_FEATURES,negative,,
"The laptop is very lightweight, can easily carry around in a knapsack full of text books and it barely adds any weight.",LAPTOP#DESIGN_FEATURES,positive,It is small enough to fit in one of my purses!,LAPTOP#DESIGN_FEATURES,positive,"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",OS#GENERAL,positive,"The battery life is amazing, the versitility is outstanding.",BATTERY#OPERATION_PERFORMANCE,positive,LAPTOP#USABILITY,positive
Awesome laptop and the perfect size to carry around in college.,LAPTOP#GENERAL,positive,I couldn't believe how long the battery lasted on a single charge.,BATTERY#OPERATION_PERFORMANCE,positive,I loaded windows 7 via Bootcamp and it works flawlessly!,OS#OPERATION_PERFORMANCE,positive,Simply amazing computer!!,LAPTOP#GENERAL,positive,,
"I really like the Mac 15.4in. Notebook, but its very pricey.",LAPTOP#GENERAL,positive,"Heck, I like all Mac computers, but they're all WAY too pricey for the kind of economy the U.S. is going through.",,,"Love the graphics, awesome programs (including Garageband), and really cool default background.",GRAPHICS#GENERAL,positive,"But, like I said before, the only reason I don't currently have a Mac laptop is because all of their laptops are too pricey.",LAPTOP#PRICE,negative,,
"Waiting for the i7 was well worth it, great value for the price.",LAPTOP#GENERAL,positive,"Bigger HD, better graphics card, and a bid HD.",HARD_DISC#DESIGN_FEATURES,positive,There is nothing to complain about the system.,LAPTOP#GENERAL,positive,I have used PC's and converting to this MacBook Pro was easy.,LAPTOP#USABILITY,positive,,
This is my first personal Satellite purchase but had very good experience through previous Satellite work issued laptops.,,,"I mainly use it for email, internet, and managing personal files (pics, vids, etc.).",,,I occassionaly use it for work via VPN and it has not given me any problems.,LAPTOP#MISCELLANEOUS,positive,"The screen is nice and the images comes very clear, the keyboard and the fit just feels right.",DISPLAY#GENERAL,positive,DISPLAY#QUALITY,positive
The apple MacBook is the best investment that I have ever made.,LAPTOP#GENERAL,positive,I previously owned a Toshiba and it only lasted about 2 years.,,,The newer MacBook that I have purchased is one of the best computers.,LAPTOP#GENERAL,positive,I am a college student and it has been very useful.,LAPTOP#MISCELLANEOUS,positive,,
I have owned macbook pros since 2005 and this is the best yet!,,,I have had no problems with it unlike some hardware defects on past models.,,,I have never had to shut down the computer unexpectedly and the computer has never froze on me.,LAPTOP#OPERATION_PERFORMANCE,positive,"The screen is bright and vivid and the keyboard is very easy to use, very important for use quick typers.",DISPLAY#QUALITY,positive,KEYBOARD#USABILITY,positive
The graphics are stunning.,GRAPHICS#GENERAL,positive,It's wonderful for computer gaming.,LAPTOP#MISCELLANEOUS,positive,I would definitely suggest this laptop!,LAPTOP#GENERAL,positive,It is very user friendly and not hard to figure out at all.,LAPTOP#USABILITY,positive,,
This computer was awful!,LAPTOP#GENERAL,negative,I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,COMPANY#GENERAL,negative,The computer first started malfunctioning 3 months after purchasing it.,LAPTOP#OPERATION_PERFORMANCE,negative,It does not keep internet signals no matter where you bring it.,LAPTOP#CONNECTIVITY,negative,,
"It is so simple to use, I use it more than my desktop.",,,"It is well worth the money it cost, Very good investment.",LAPTOP#GENERAL,positive,,,,,,,,
The new Macbook Pro 15 inch i7 is nothing short of amazing.,LAPTOP#GENERAL,positive,The speed is incredible and I am more than satisfied.,LAPTOP#OPERATION_PERFORMANCE,positive,"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",,,,,,,
"BOUGHT FROM WAL-MART, I BELIEVE THAT THIS LAPTOP WAS A REPAIRED ITEM.",LAPTOP#MISCELLANEOUS,neutral,THIS LAPTOP WAS BAD FROM THE FIRST DAY OF USE----BROUGHT IT BACK TO STORE FOR RETURN OF MONEY.,LAPTOP#QUALITY,negative,NOW AM VERY APREHENSIVE ABOUT TOSHIBA LAPTOPS.,COMPANY#GENERAL,negative,WILL NOT EVERY BUY ANOTHER--------LOU,LAPTOP#GENERAL,negative,,
This is a great value for the money.,LAPTOP#GENERAL,positive,We purchased this as a back up computer after our more expensive HP needed to be repaired.,,,This is a great computer.,LAPTOP#GENERAL,positive,We haven't had any problems with it at all.,LAPTOP#GENERAL,positive,,
I still see the benefits of a PC when I do not know how to do something on my mac.,,,"But let me tell you, the mac book pro is so professional.",LAPTOP#GENERAL,positive,Its very nice and once you learn the features you will be so happy to have such a sophisticated computer.,LAPTOP#GENERAL,positive,"For example, when my husband turns the light out while I'm on the computer. the screen brightness automatically adjusts.",DISPLAY#DESIGN_FEATURES,positive,,
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",LAPTOP#DESIGN_FEATURES,positive,Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,BATTERY#OPERATION_PERFORMANCE,positive,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",LAPTOP#USABILITY,neutral,"I play a lot of casual games online, and the touchpad is very responsive.",MOUSE#OPERATION_PERFORMANCE,positive,,
I have used both PCs and Macs and I have to say that I really really love my Mac Book Pro.,,,"While most people say that PCs hold functionality and value and Macs are just pretty to look at, I think there's something to be said about the simplicity of Macs.",,,Everything from the design to the OS is simple and to the point.,LAPTOP#DESIGN_FEATURES,positive,LOVE IT LOVE IT LOVE IT!,LAPTOP#GENERAL,positive,,
It really is perfect for work and play.,LAPTOP#MISCELLANEOUS,positive,I am able to play 720p and 1080p media files just fine with it.,LAPTOP#MISCELLANEOUS,positive,Everything I have tried has worked and I never have to carry the wall charger cause the battery is so awesome.,LAPTOP#OPERATION_PERFORMANCE,positive,"The only thing that isn't perfect about this netbook is the speakers, they are not loud at all but I expected that.",MULTIMEDIA_DEVICES#QUALITY,negative,,
lots of preloaded software.,LAPTOP#DESIGN_FEATURES,neutral,"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",MEMORY#DESIGN_FEATURES,negative,"tosiba has a good reputation, my llast computer was an acer.",COMPANY#GENERAL,positive,this is starting off good.,LAPTOP#GENERAL,positive,,
What a great little laptop.,LAPTOP#GENERAL,positive,Maybe not the cutting edge (Satellite L455D) but it is a workhorse.,LAPTOP#DESIGN_FEATURES,neutral,I bought it to use in college and it is perfect.,LAPTOP#MISCELLANEOUS,positive,I dual boot with Linux and that other security-prone OS and it performs flawlessly.,LAPTOP#OPERATION_PERFORMANCE,positive,,
Excellent product for the money.,LAPTOP#GENERAL,positive,"No problems, no lock ups, no disappointments.",LAPTOP#OPERATION_PERFORMANCE,positive,"Not super fancy, but not super expensive either.",LAPTOP#DESIGN_FEATURES,neutral,"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",,,,
As an owner of a Toshiba Satalite laptop computer things you should know before you buy.,,,The Computer itself is a good product but the repair depot stinks.,LAPTOP#GENERAL,positive,I have had to send in my laptop three times to get it fixed.,SUPPORT#QUALITY,negative,Two of the times was in one month.,,,,
The Mac Book Pro performs flawlessly.,LAPTOP#OPERATION_PERFORMANCE,positive,"Never had a single problem, and don't have to worry about viruses.",LAPTOP#GENERAL,positive,"While I mostly use it for email, internet and gaming, I'm confident all other applications live up to the high standard I've come to appreciate from Mac laptops.",LAPTOP#MISCELLANEOUS,positive,Worth the investment and truly a fine piece of equipment.,LAPTOP#GENERAL,positive,,
"Right out of the box, this little netbook did everything I asked of it, including streaming the everyday video you're bound to encounter checking mail and websites (my biggest complaint previously).",LAPTOP#GENERAL,positive,"It even has a great webcam, and Skype works very well.",LAPTOP#DESIGN_FEATURES,positive,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,LAPTOP#GENERAL,positive,"The Windows 7 Starter is, in my opinion, a great way to think about using your netbook: basics, basics, basics.",OS#GENERAL,negative,,
little short on RAM but you get what you pay for.,MEMORY#DESIGN_FEATURES,neutral,"the hinge design forced you to place various connections all around the computer, left right and front.",LAPTOP#DESIGN_FEATURES,negative,"the headphone and mic jack are in front of touch-pad making the touch-pad hard to use when using headphones/mic, not to mention the laptop was designed for right handed person.",PORTS#DESIGN_FEATURES,negative,Cords coming out the right for power plus cords coming out front for headphones/mic plus network connection on left make for a very messy setup with cords going every direction.,LAPTOP#DESIGN_FEATURES,negative,LAPTOP#USABILITY,negative
I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.,LAPTOP#GENERAL,positive,The computer was shipped to their repair depotÂ  on june 24 and returned on July 2 seems like a short turn around time except the computer was not repaired when it was returned.,SHIPPING#QUALITY,positive,I called their repair depot as was told they would send Me a new box to return the computer to the repair depot.,,,They were totally unconcerned that the computer was not correctly repaired in the first place.,SUPPORT#QUALITY,negative,,
Windows Vista makes this computer almost unusable for online service.,OS#GENERAL,negative,I've tried going back to XL but there still problems.,LAPTOP#USABILITY,negative,The technical service for dell is so 3rd world it might as well not even bother.,SUPPORT#QUALITY,negative,Just a bunch of idiots who's English as a 5th language is forced at best.,SUPPORT#QUALITY,negative,,
Good price.,LAPTOP#PRICE,positive,Basic computer.,LAPTOP#MISCELLANEOUS,neutral,Didn't work when shipped from Walmart.com but went into a store and exchanged for a working laptop (same make/model).,LAPTOP#MISCELLANEOUS,neutral,It has worked fine.,LAPTOP#OPERATION_PERFORMANCE,positive,,
Handles all my basic media needs easily.,LAPTOP#MISCELLANEOUS,positive,Can listen to my music and watch my videos with ease and with a great display.,DISPLAY#GENERAL,positive,It is speedy when connected wirelessly to any network regardless if the connection is weak or not.,LAPTOP#OPERATION_PERFORMANCE,positive,It's a great prodcut to handle basic computing needs.,LAPTOP#MISCELLANEOUS,positive,,
I've had this laptop for about a month now.,,,It has served my needs quite nicely for the most part.,LAPTOP#GENERAL,positive,"The 2 GB of RAM is plenty, able to run Windows 7 and at least 2 or 3 other programs with next to no slowdown.",MEMORY#DESIGN_FEATURES,positive,"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",,,,
Let me start with the good:So awesome.,LAPTOP#GENERAL,positive,"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS#GENERAL,positive,This is my second MacBook.,,,"The first one I had was a 2006 model, not the Pro.",,,,
"The pro is a great product, I wish that the 13 inch models came with the Intel i processors and had a more comfortable edge (the edges hurt my wrists).",LAPTOP#GENERAL,positive,Other than that its a great performing machine and well meets all my needs and more.,LAPTOP#OPERATION_PERFORMANCE,positive,Great product by Apple with the new great looking design.,LAPTOP#GENERAL,positive,,,,,
"This computer was bought because I wanted ""top of the line"", fast, reliable, HA.",,,"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!)only to get another ""HP/Compaq"" piece of crap.",HARD_DISC#QUALITY,negative,"It was slow, locked up, and also had hardware replaced after only 2 months!",LAPTOP#OPERATION_PERFORMANCE,negative,"So, buyers beware!",LAPTOP#GENERAL,negative,,
My husband got me this for Chrismas after getting me a very expensve laptop that did not work after 2 days.,,,So we exchanged it for the same on and after 2 hours it didn't work.,,,I went with him and we picked this one.,,,"It is made better, thicker, and all out tough!",LAPTOP#QUALITY,positive,LAPTOP#DESIGN_FEATURES,positive
I purchased a Toshiba Satellite M60 (with harman/kardon speakers!) in December of 2005.,,,It still serves me well both in business and home needs.,,,"It is, however, very heavy.",,,I recently purchased the mini and absolutely love it!,LAPTOP#GENERAL,positive,,
From the moment I opened the box to the present it has been a great joy.,LAPTOP#GENERAL,positive,"It is always reliable, never bugged and responds well.",LAPTOP#QUALITY,positive,I love the operating system and the preloaded software.,OS#GENERAL,positive,,,,,
I am a freelance graphic artist.,,,I need graphic power to run my Adobe Creative apps efficiently.,,,This machine delivers.,LAPTOP#OPERATION_PERFORMANCE,positive,It is much faster than my desktop which is a Core2 Quad running at 2.83 GHz.,,,,
The acer one compuer is a great computer.,LAPTOP#GENERAL,positive,I didn't want to buy a generic brand computer but it is really nice.,LAPTOP#GENERAL,positive,"Its fast, has High definition quality in the videos.",LAPTOP#OPERATION_PERFORMANCE,positive,The pictures are clear as can be.,DISPLAY#QUALITY,positive,,
"Well, I have to say since I bought my Mac, I won't ever go back to any Windows.",,,It's solid.,LAPTOP#QUALITY,positive,Love the stability of the Mac software and operating system.,SOFTWARE#OPERATION_PERFORMANCE,positive,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,SOFTWARE#USABILITY,negative,SOFTWARE#GENERAL,negative
i love to use it it is esay and light.,LAPTOP#GENERAL,positive,this laptop is durable and it is easy to travel with.,LAPTOP#QUALITY,positive,i needed one to be able to carry to work everyday and this one seems to fit all of the criteria.,LAPTOP#PORTABILITY,positive,this laptop is great for work and doing my pictures.,LAPTOP#MISCELLANEOUS,positive,,
From the second you open the box you will fall in love with this computer!,LAPTOP#GENERAL,positive,The OS is still as fast as the day that the laptop was purchased and continues to run flawlessly.,OS#OPERATION_PERFORMANCE,positive,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",MOUSE#DESIGN_FEATURES,positive,"Have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of PC in my opinion.",,,,
"From the start, when you open the box you see a completely different class of machine.",LAPTOP#GENERAL,positive,The ease in which you set everything up is such that a child could do it.,LAPTOP#USABILITY,positive,"The screen is bright and clear, the operating system is solid and friendly to a novice.",DISPLAY#QUALITY,positive,"Fast, fast and fast, the web pages just fly by.",LAPTOP#OPERATION_PERFORMANCE,positive,,
"been a PC user for many, many years.",,,"Let me tell you, this machine is great.",LAPTOP#GENERAL,positive,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",LAPTOP#MISCELLANEOUS,positive,"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",OS#USABILITY,positive,,
"Ok, this is probably the best laptop series ever devised by Apple.",LAPTOP#GENERAL,positive,The case is carved out of a single block of aluminum.,LAPTOP#QUALITY,positive,"Although I opted for the lowest end MacBook Pro, this thing holds its own.",,,"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",CPU#OPERATION_PERFORMANCE,positive,OS#OPERATION_PERFORMANCE,positive
Took it back as it was defective.,LAPTOP#QUALITY,negative,Page just disapeared after you got yahoo or downloaded something.,LAPTOP#OPERATION_PERFORMANCE,negative,Couldn't keep a page up you were working on!,LAPTOP#OPERATION_PERFORMANCE,negative,,,,,
was a great deal i will give that.,LAPTOP#PRICE,positive,the laptop preformed pretty well.,LAPTOP#OPERATION_PERFORMANCE,positive,it cant fuction well with lots of webpages open at once.,LAPTOP#OPERATION_PERFORMANCE,negative,it has times were it freezes for 10 seconds and then starts again.,LAPTOP#OPERATION_PERFORMANCE,negative,,
I am very happy with this laptop.,LAPTOP#GENERAL,positive,For the price and what I get out of it has exceeded my expectations.,LAPTOP#PRICE,neutral,I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,LAPTOP#OPERATION_PERFORMANCE,positive,,,,,
"First things first, Macbook pro has many applications to make life easier, unlike the windows computers.",,,Amazing Quality!,LAPTOP#QUALITY,positive,Plus stylish.,LAPTOP#DESIGN_FEATURES,positive,"The big screen allows you to enjoy watching movies , pictures and etc!",DISPLAY#DESIGN_FEATURES,positive,,
Was not happy with one of the programs on it.,SOFTWARE#GENERAL,negative,"It was not clear that the Microsoft Student Edition that was loaded on the computer, was a six month trial.",SOFTWARE#MISCELLANEOUS,negative,"Also, the extended warranty was a problem.",WARRANTY#GENERAL,negative,The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.,WARRANTY#MISCELLANEOUS,negative,,
I took 3-4 years researching brands and prices of laptops.,,,I finally decided on this laptop because it was the right price for what I need it.,LAPTOP#PRICE,positive,"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",LAPTOP#DESIGN_FEATURES,negative,So I'm disappointed in that because communicating with my relatives out of the area is a priority.,LAPTOP#DESIGN_FEATURES,negative,,
I bought this eMachines Notebook PC in January of this year and I am highlyÂ dissatisfied with it.,LAPTOP#GENERAL,negative,The Internet Explorer was very slow from the very beginning.,SOFTWARE#OPERATION_PERFORMANCE,negative,"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.",SOFTWARE#OPERATION_PERFORMANCE,negative,I tried to upgrade it to a newer version a couple of months ago and I still have the same problem.,SOFTWARE#OPERATION_PERFORMANCE,negative,,
This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.,,,"It took me a while top get away from the land of PCs, but now that I have, I can't see myself going back to it.",,,The laptop is gorgeous.,LAPTOP#GENERAL,positive,"It is sleek, smooth, and lightweight.",LAPTOP#DESIGN_FEATURES,positive,LAPTOP#OPERATION_PERFORMANCE,positive
Overall this laptop is great.,LAPTOP#GENERAL,positive,"It has plenty of memory, lots of hard drive, and great graphics.",MEMORY#DESIGN_FEATURES,positive,It runs very quiet too which is a plus.,LAPTOP#QUALITY,positive,The only bad thing about it is they give you the worst batteries possible.,BATTERY#GENERAL,negative,,
This a starter notebook.,,,The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,CPU#OPERATION_PERFORMANCE,negative,The notebook is lacking a HDMI port and a S-video port that would enable one to hook it to a TV.,LAPTOP#DESIGN_FEATURES,negative,If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,,,,
This laptop is a great price and has a sleek look.,LAPTOP#PRICE,positive,Runs smooth and quick.,LAPTOP#OPERATION_PERFORMANCE,positive,"I wish it had a webcam though, then it would be perfect!",LAPTOP#DESIGN_FEATURES,negative,,,,,
I Love my new computer!,LAPTOP#GENERAL,positive,Its fast and another thing I like is that it has three USB ports.,LAPTOP#OPERATION_PERFORMANCE,positive,I love to write and play with graphics and html programming and my new Toshiba works great on both!,LAPTOP#MISCELLANEOUS,positive,Thank you for your great product!,LAPTOP#GENERAL,positive,COMPANY#GENERAL,positive
Everything about this computer is easy to use.,LAPTOP#USABILITY,positive,wonderful features.,LAPTOP#DESIGN_FEATURES,positive,The only thing is that the battery won't last more than 1/2 an hour.,BATTERY#OPERATION_PERFORMANCE,negative,It discharges too quickly.,BATTERY#OPERATION_PERFORMANCE,negative,,
It has good speed and plenty of hard drive space.,LAPTOP#OPERATION_PERFORMANCE,positive,The only downfall is the volume control.,MULTIMEDIA_DEVICES#GENERAL,negative,The wheel that turns the volume up and down doesn't work in real time.,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative,I have to keep turning it until it decides to lower and there is no mute.,MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE,negative,MULTIMEDIA_DEVICES#USABILITY,negative
I bought my macbook a few months ago and it has been my baby ever since.,LAPTOP#GENERAL,positive,I love it so much.,LAPTOP#GENERAL,positive,"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",LAPTOP#MISCELLANEOUS,positive,"The best thing is even while doing almost ten or twenty things at once, it never slows down.",LAPTOP#OPERATION_PERFORMANCE,positive,,
I purchased this laptop while on a business trip to keep up with my email.,,,I had left my regular laptop at home and needed something to use while out of town .,,,The price and features more than met my needs.,LAPTOP#PRICE,positive,I love WIndows 7 which is a vast improvment over Vista.,,,,
I love my macbook pro!,LAPTOP#GENERAL,positive,I have been a mac user since the mid 90s.,,,I grew up in a design family so it only made sense.,,,My laptop is almost 2yrs old and I have never had any problems with it.,LAPTOP#GENERAL,positive,,
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",,,I love the keyboard.,KEYBOARD#GENERAL,positive,Most laptops and notebooks are difficult to key on.,,,This unit is not.,,,,
The display is awesome.,DISPLAY#GENERAL,positive,The resolution is even higher then any other laptop on the market.,,,Only thing I would want to add to this is an internal bluray read/write drive.,LAPTOP#DESIGN_FEATURES,neutral,But other than that I am blown away by all the features this laptop offers.,LAPTOP#DESIGN_FEATURES,positive,,
I think this computer is super lame.,LAPTOP#QUALITY,negative,I dont understand how anyone can think this is a great product worth purchasing.,LAPTOP#GENERAL,negative,I went to my local Best Buy looking for a new laptop since mine broke.,,,I decided to get this pile of crap on a whim and totally freaking regret it.,LAPTOP#QUALITY,negative,,
"I bought this last week, and the very next day had to return it because it over heated and the touch-mouse stopped responding.",LAPTOP#QUALITY,negative,"got another 1, and same issue.",LAPTOP#QUALITY,negative,I am taking back today.,LAPTOP#GENERAL,negative,Don't waste your money or time.,LAPTOP#GENERAL,negative,,
STOPPED BOOTING UP less than a week after my one-year warranty was up.,LAPTOP#OPERATION_PERFORMANCE,negative,Toshiba knows there is a manufacturing defect but will not acknowledge it.,SUPPORT#QUALITY,negative,"Summary: After doing some investigation on the web, I have found that Toshiba NB205s are not chronically not booting.",,,"Apparently there is a manufacturing defect, something with the amount of thermal paste.",LAPTOP#QUALITY,negative,,
I've had my MacBook Pro for three years now and still love it!,LAPTOP#GENERAL,positive,"In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily.",SUPPORT#QUALITY,positive,"My power supply cord developed exposed wires within the first year of ownership, so it was covered by the Applecare warranty plan.",POWER_SUPPLY#QUALITY,negative,"After a couple of years, my battery life began to diminish but was replaced for free due to a company-wide recall of my particular battery.",BATTERY#OPERATION_PERFORMANCE,negative,SUPPORT#MISCELLANEOUS,positive
